ID_yr,Site,Year,Species,Treatment,spp_trt,Phytometer,Neighbour,light,carbon,WUE,gs
TYP4CU_2016,TYP4CU,2016,Typha,No competition,Typha_Phragmites_No competition,Typha_Phragmites,Phragmites,50,0,0,319
TYP4CU_2016,TYP4CU,2016,Typha,No competition,Typha_Phragmites_No competition,Typha_Phragmites,Phragmites,0,-1.1,-0.19,244
TYP5_2016,TYP5,2016,Typha,Competition,Typha_Phragmites_Competition,Typha_Phragmites,Phragmites,1500,19.5,2.58,362
TYP5_2016,TYP5,2016,Typha,Competition,Typha_Phragmites_Competition,Typha_Phragmites,Phragmites,1000,18.9,2.51,352
TYP5_2016,TYP5,2016,Typha,Competition,Typha_Phragmites_Competition,Typha_Phragmites,Phragmites,500,14.5,2.02,326
TYP5_2016,TYP5,2016,Typha,Competition,Typha_Phragmites_Competition,Typha_Phragmites,Phragmites,200,6.8,0.97,313
TYP5_2016,TYP5,2016,Typha,Competition,Typha_Phragmites_Competition,Typha_Phragmites,Phragmites,100,3,0.47,294
TYP5_2016,TYP5,2016,Typha,Competition,Typha_Phragmites_Competition,Typha_Phragmites,Phragmites,50,0.9,0.14,273
TYP5_2016,TYP5,2016,Typha,Competition,Typha_Phragmites_Competition,Typha_Phragmites,Phragmites,0,-0.3,-0.05,240
TYP5CU_2016,TYP5CU,2016,Typha,No competition,Typha_Phragmites_No competition,Typha_Phragmites,Phragmites,1500,17.4,2.17,418
TYP5CU_2016,TYP5CU,2016,Typha,No competition,Typha_Phragmites_No competition,Typha_Phragmites,Phragmites,1000,17.4,2.15,423
TYP5CU_2016,TYP5CU,2016,Typha,No competition,Typha_Phragmites_No competition,Typha_Phragmites,Phragmites,500,14.5,1.79,398
TYP5CU_2016,TYP5CU,2016,Typha,No competition,Typha_Phragmites_No competition,Typha_Phragmites,Phragmites,200,6.9,0.88,435
TYP5CU_2016,TYP5CU,2016,Typha,No competition,Typha_Phragmites_No competition,Typha_Phragmites,Phragmites,100,3.1,0.43,387
TYP5CU_2016,TYP5CU,2016,Typha,No competition,Typha_Phragmites_No competition,Typha_Phragmites,Phragmites,50,1.4,0.2,354
TYP5CU_2016,TYP5CU,2016,Typha,No competition,Typha_Phragmites_No competition,Typha_Phragmites,Phragmites,0,-0.3,-0.05,323
TYP6_2016,TYP6,2016,Typha,Competition,Typha_Phragmites_Competition,Typha_Phragmites,Phragmites,1500,16.7,2.39,372
TYP6_2016,TYP6,2016,Typha,Competition,Typha_Phragmites_Competition,Typha_Phragmites,Phragmites,1000,16.4,2.2,386
TYP6_2016,TYP6,2016,Typha,Competition,Typha_Phragmites_Competition,Typha_Phragmites,Phragmites,500,13.4,1.69,409
TYP6_2016,TYP6,2016,Typha,Competition,Typha_Phragmites_Competition,Typha_Phragmites,Phragmites,200,6.9,0.86,404
TYP6_2016,TYP6,2016,Typha,Competition,Typha_Phragmites_Competition,Typha_Phragmites,Phragmites,100,3.2,0.4,406
TYP6_2016,TYP6,2016,Typha,Competition,Typha_Phragmites_Competition,Typha_Phragmites,Phragmites,50,1.1,0.15,389
TYP6_2016,TYP6,2016,Typha,Competition,Typha_Phragmites_Competition,Typha_Phragmites,Phragmites,0,0,0,358
TYP6CU_2016,TYP6CU,2016,Typha,No competition,Typha_Phragmites_No competition,Typha_Phragmites,Phragmites,1500,24.5,3.04,405
TYP6CU_2016,TYP6CU,2016,Typha,No competition,Typha_Phragmites_No competition,Typha_Phragmites,Phragmites,1000,24.1,3.03,401
TYP6CU_2016,TYP6CU,2016,Typha,No competition,Typha_Phragmites_No competition,Typha_Phragmites,Phragmites,500,19.9,2.46,407
TYP6CU_2016,TYP6CU,2016,Typha,No competition,Typha_Phragmites_No competition,Typha_Phragmites,Phragmites,200,10.1,1.27,393
TYP6CU_2016,TYP6CU,2016,Typha,No competition,Typha_Phragmites_No competition,Typha_Phragmites,Phragmites,100,6.3,0.82,373
TYP6CU_2016,TYP6CU,2016,Typha,No competition,Typha_Phragmites_No competition,Typha_Phragmites,Phragmites,50,5.5,0.72,357
TYP6CU_2016,TYP6CU,2016,Typha,No competition,Typha_Phragmites_No competition,Typha_Phragmites,Phragmites,0,4.5,0.67,290
PCC1_2016,PCC1,2016,Phragmites,Competition,Phragmites_Calamagrostis_Competition,Phragmites_Calamagrostis,Calamagrostis,1500,15.7,4.01,170
PCC1_2016,PCC1,2016,Phragmites,Competition,Phragmites_Calamagrostis_Competition,Phragmites_Calamagrostis,Calamagrostis,1000,14.1,4.13,145
PCC1_2016,PCC1,2016,Phragmites,Competition,Phragmites_Calamagrostis_Competition,Phragmites_Calamagrostis,Calamagrostis,500,11.7,3.38,138
PCC1_2016,PCC1,2016,Phragmites,Competition,Phragmites_Calamagrostis_Competition,Phragmites_Calamagrostis,Calamagrostis,200,6.3,1.96,137
PCC1_2016,PCC1,2016,Phragmites,Competition,Phragmites_Calamagrostis_Competition,Phragmites_Calamagrostis,Calamagrostis,100,3.1,1.12,112
PCC1_2016,PCC1,2016,Phragmites,Competition,Phragmites_Calamagrostis_Competition,Phragmites_Calamagrostis,Calamagrostis,50,1.2,0.55,83
PCC1_2016,PCC1,2016,Phragmites,Competition,Phragmites_Calamagrostis_Competition,Phragmites_Calamagrostis,Calamagrostis,0,-0.3,-0.19,57
PCC1CU_2016,PCC1CU,2016,Phragmites,No competition,Phragmites_Calamagrostis_No competition,Phragmites_Calamagrostis,Calamagrostis,1500,25.9,3.83,348
PCC1CU_2016,PCC1CU,2016,Phragmites,No competition,Phragmites_Calamagrostis_No competition,Phragmites_Calamagrostis,Calamagrostis,1000,21.8,3.47,290
PCC1CU_2016,PCC1CU,2016,Phragmites,No competition,Phragmites_Calamagrostis_No competition,Phragmites_Calamagrostis,Calamagrostis,500,14.5,2.42,264
PCC1CU_2016,PCC1CU,2016,Phragmites,No competition,Phragmites_Calamagrostis_No competition,Phragmites_Calamagrostis,Calamagrostis,200,6.1,1.19,214
PCC1CU_2016,PCC1CU,2016,Phragmites,No competition,Phragmites_Calamagrostis_No competition,Phragmites_Calamagrostis,Calamagrostis,100,1.8,0.4,171
PCC1CU_2016,PCC1CU,2016,Phragmites,No competition,Phragmites_Calamagrostis_No competition,Phragmites_Calamagrostis,Calamagrostis,50,-0.2,-0.06,117
PCC1CU_2016,PCC1CU,2016,Phragmites,No competition,Phragmites_Calamagrostis_No competition,Phragmites_Calamagrostis,Calamagrostis,0,-1.6,-0.63,85
PCC2_2016,PCC2,2016,Phragmites,Competition,Phragmites_Calamagrostis_Competition,Phragmites_Calamagrostis,Calamagrostis,1500,15.1,2.81,211
PCC2_2016,PCC2,2016,Phragmites,Competition,Phragmites_Calamagrostis_Competition,Phragmites_Calamagrostis,Calamagrostis,1000,15.2,2.94,203
